name,formed,dissipated,mph,damage,deaths
1804 New England hurricane,09/04/1804,09/11/1804,110,100K,16
1806 Great Coastal hurricane,07/17/1806,07/25/1806,110,171K,24
1812 Louisiana hurricane,07/15/1812,07/20/1812,115,6M,100
1821 Norfolk and Long Island hurricane,08/01/1821,08/04/1821,130,200K,22
1848 Tampa Bay hurricane,08/23/1848,08/28/1848,130,20K,0
1867 San Narciso hurricane,09/27/1867,09/31/1867,125,1M,811
1875 Indianola hurricane,08/08/1875,08/18/1875,115,4M,800
Gale of 1878,09/18/1878,09/23/1878,105,2M,71
1886 Indianola hurricane,07/12/1886,07/21/1886,150,200K,74
1887 Halloween tropical storm,09/29/1887,10/06/1887,70,7K,2
1891 Martinique hurricane,07/18/1891,07/25/1891,125,10M,700
1893 Sea Islands hurricane,07/15/1893,08/02/1893,120,1M,2000
1893 Cheniere Caminada hurricane,08/27/1893,09/05/1893,130,5M,2000
1896 Cedar Keys hurricane,08/22/1896,08/30/1896,125,313M,202
1896 East Coast hurricane,09/07/1896,09/13/1896,100,500K,4
1898 Windward Islands hurricane,08/05/1898,08/19/1898,110,2.5M,392
1898 Georgia hurricane,08/25/1898,09/06/1898,130,1.5M,179
1899 Carrabelle hurricane,06/28/1899,07/02/1899,100,1M,9
1899 San Ciriaco hurricane,07/03/1899,08/12/1899,150,20M,3855
1900 Galveston hurricane,07/27/1900,08/15/1900,145,1.097B,8000
1901 Louisiana hurricane,07/02/1901,07/18/1901,90,1M,15
1903 Jamaica hurricane,07/06/1903,07/16/1903,120,10M,188
1903 Florida hurricane,08/09/1903,08/16/1903,90,500K,14
1903 New Jersey hurricane,08/12/1903,08/17/1903,100,8M,57
1906 Mississippi hurricane,08/19/1906,08/29/1906,120,19.221M,134
1906 Florida Keys hurricane,09/08/1906,09/23/1906,120,4.135M,240
1909 Velasco hurricane,06/13/1909,06/22/1909,115,2M,41
1909 Monterrey hurricane,07/20/1909,07/28/1909,120,50M,4000
1909 Grand Isle hurricane,08/13/1909,08/22/1909,120,11M,400
1909 Florida Keys hurricane,09/06/1909,09/13/1909,120,3M,34
1909 Greater Antilles hurricane,10/08/1909,10/14/1909,105,10M,198
1910 Cuba hurricane,09/09/1910,09/23/1910,150,1.25M,116
1912 Jamaica hurricane,10/11/1912,10/22/1912,115,1.5M,105
1915 Galveston hurricane,07/05/1915,07/23/1915,145,30M,405
1915 New Orleans hurricane,08/21/1915,09/01/1915,145,13M,279
1916 Gulf Coast hurricane,05/28/1916,06/10/1916,120,12.5M,34
1916 Charleston hurricane,06/11/1916,06/15/1916,115,22M,84
1916 Texas hurricane,07/12/1916,07/20/1916,130,11.8M,37
1916 Virgin Islands hurricane,09/06/1916,09/15/1916,120,2M,41
1916 Pensacola hurricane,09/09/1916,09/19/1916,110,100K,29
1917 Nueva Gerona hurricane,08/20/1917,08/30/1917,150,2.17M,44
1919 Florida Keys hurricane,08/02/1919,08/16/1919,150,22M,772
1920 Louisiana hurricane,08/16/1920,08/23/1920,100,1.45M,1
1921 Tampa Bay hurricane,09/20/1921,09/30/1921,140,10M,8
1925 Florida tropical storm,10/27/1925,11/01/1925,65,3M,73
1926 Nassau hurricane,06/22/1926,07/02/1926,140,7.85M,287
1926 Louisiana hurricane,07/20/1926,07/27/1926,115,6M,25
1926 Miami hurricane,08/11/1926,08/22/1926,150,100M,539
1927 Nova Scotia hurricane,07/18/1927,07/29/1927,125,1.6M,192
1928 Fort Pierce hurricane,07/03/1928,07/10/1928,105,235K,2
1928 Haiti hurricane,07/07/1928,07/17/1928,90,2M,210
1928 Okeechobee hurricane,08/06/1928,08/21/1928,160,1.58B,4112
1929 Bahamas hurricane,08/22/1929,09/04/1929,155,9.31M,155
1930 San Zenón hurricane,07/29/1930,08/17/1930,155,50M,8000
1931 British Honduras hurricane,08/06/1931,08/13/1931,130,7.5M,2500
1932 Freeport hurricane,07/12/1932,07/15/1932,150,7.5M,40
1932 Florida–Alabama hurricane,07/26/1932,08/04/1932,85,229K,1
1932 San Ciprián hurricane,08/25/1932,09/02/1932,145,35.8M,272
1932 Cuba hurricane,09/30/1932,10/14/1932,175,40M,3103
1933 Trinidad hurricane,05/24/1933,06/08/1933,110,7.2M,35
1933 Florida–Mexico hurricane,06/24/1933,07/05/1933,90,3M,39
1933 Chesapeake–Potomac hurricane,07/13/1933,07/28/1933,140,41.2M,47
1933 Cuba–Brownsville hurricane,07/22/1933,08/05/1933,160,27.9M,179
1933 Treasure Coast hurricane,07/31/1933,08/07/1933,140,3M,3
1933 Outer Banks hurricane,08/08/1933,08/22/1933,140,4.75M,24
1933 Tampico hurricane,08/16/1933,08/25/1933,160,5M,184
1933 Cuba–Bahamas hurricane,09/01/1933,09/09/1933,125,1.1M,10
1934 Central America hurricane,05/04/1934,05/21/1934,100,9.46M,506
1935 Labor Day hurricane,07/29/1935,08/10/1935,185,100M,423
1935 Cuba hurricane,08/23/1935,09/02/1935,140,14.5M,52
1935 Jérémie hurricane,09/18/1935,09/27/1935,85,16M,2150
1935 Yankee hurricane,09/30/1935,10/08/1935,105,5.5M,19
1936 Mid,08/08/1936,08/25/1936,120,4.05M,2
1938 New England hurricane,08/09/1938,08/23/1938,160,306M,682
1940 Louisiana hurricane,07/03/1940,07/10/1940,100,10.75M,7
1940 South Carolina hurricane,07/05/1940,07/15/1940,100,13M,50
1940 New England hurricane,07/26/1940,08/02/1940,110,4.05M,7
1940 Nova Scotia hurricane,08/07/1940,08/17/1940,100,1.49M,3
1941 Texas hurricane,08/16/1941,08/27/1941,125,7.5M,7
1941 Florida hurricane,09/03/1941,09/13/1941,120,675K,10
1942 Matagorda hurricane,07/21/1942,07/31/1942,115,26.5M,8
1942 Belize hurricane,10/05/1942,10/11/1942,110,4M,9
